Timestamp,Container,CPU Usage,Memory Usage
2023-11-29 14:40,EVAM Cam 1,24.97%,407.8
2023-11-29 14:40,EVAM Cam 2,17.17%,79.92
2023-11-29 14:50,Visualizer,668.03%,1.376GiB
2023-11-29 14:50,EVAM Cam 1,24.98%,407.2
2023-11-29 14:50,EVAM Cam 2,17.05%,80.4
2023-11-29 15:00,Visualizer,667.86%,1.425GiB
2023-11-29 15:00,EVAM Cam 1,26.34%,341.1
2023-11-29 15:00,EVAM Cam 2,17.78%,80.25
2023-11-29 15:10,Visualizer,594.37%,1.398GiB
2023-11-29 15:10,EVAM Cam 1,26.62%,449.5
2023-11-29 15:10,EVAM Cam 2,18.85%,80.05
2023-11-29 15:20,Visualizer,709.95%,1.445GiB
2023-11-29 15:20,EVAM Cam 1,24.89%,420.8
2023-11-29 15:20,EVAM Cam 2,16.78%,80.04
2023-11-29 15:30,Visualizer,702.93%,1.452GiB
2023-11-29 15:30,EVAM Cam 1,27.25%,412.8
2023-11-29 15:30,EVAM Cam 2,17.07%,80.11
2023-11-29 15:40,Visualizer,682.56%,1.453GiB
2023-11-29 15:40,EVAM Cam 1,25.07%,424.2
2023-11-29 15:40,EVAM Cam 2,17.60%,79.91
2023-11-29 15:51,Visualizer,684.53%,1.391GiB
2023-11-29 15:51,EVAM Cam 1,25.32%,132.9
2023-11-29 15:51,EVAM Cam 2,18.11%,79.1
2023-11-29 16:01,Visualizer,713.62%,1.358GiB
2023-11-29 16:01,EVAM Cam 1,25.09%,40.96
2023-11-29 16:01,EVAM Cam 2,17.45%,79.05
2023-11-29 16:11,Visualizer,675.45%,1.337GiB
2023-11-29 16:11,EVAM Cam 1,25.32%,41
2023-11-29 16:11,EVAM Cam 2,17.52%,78.66
2023-11-29 16:21,Visualizer,699.89%,1.366GiB
2023-11-29 16:21,EVAM Cam 1,24.80%,52.97
2023-11-29 16:21,EVAM Cam 2,17.47%,78.66
2023-11-29 16:31,Visualizer,678.74%,1.415GiB
2023-11-29 16:31,EVAM Cam 1,24.70%,49.06
2023-11-29 16:31,EVAM Cam 2,17.54%,78.69
2023-11-29 16:41,Visualizer,690.37%,1.37GiB
2023-11-29 16:41,EVAM Cam 1,25.02%,40.95
2023-11-29 16:41,EVAM Cam 2,17.23%,78.79
2023-11-29 16:51,Visualizer,627.32%,1.323GiB
2023-11-29 16:51,EVAM Cam 1,25.54%,40.96
2023-11-29 16:51,EVAM Cam 2,17.22%,78.85
2023-11-29 17:01,Visualizer,680.81%,1.358GiB
2023-11-29 17:01,EVAM Cam 1,25.65%,40.62
2023-11-29 17:01,EVAM Cam 2,17.13%,79.18
2023-11-29 17:11,Visualizer,649.83%,1.303GiB
2023-11-29 17:11,EVAM Cam 1,26.18%,48.91
2023-11-29 17:11,EVAM Cam 2,17.03%,77.52
2023-11-29 17:22,Visualizer,607.27%,1.323GiB
2023-11-29 17:22,EVAM Cam 1,24.93%,40.37
2023-11-29 17:22,EVAM Cam 2,17.03%,77.5
2023-11-29 17:32,Visualizer,695.88%,1.387GiB
