Timestamp,Container,CPU Usage,Memory Usage
2023-11-28 9:40,Visualizer,106.57%,287.2
2023-11-28 9:40,EVAM Cam 1,18.37%,81.88
2023-11-28 9:40,EVAM Cam 2,13.32%,71.14
2023-11-28 9:50,Visualizer,493.85%,1.246GiB
2023-11-28 9:50,EVAM Cam 1,22.20%,84.52
2023-11-28 9:50,EVAM Cam 2,14.84%,75.61
2023-11-28 10:00,Visualizer,503.19%,1.246GiB
2023-11-28 10:00,EVAM Cam 1,24.98%,92
2023-11-28 10:00,EVAM Cam 2,14.61%,75.94
2023-11-28 10:11,Visualizer,503.47%,1.246GiB
2023-11-28 10:11,EVAM Cam 1,23.76%,84.37
2023-11-28 10:11,EVAM Cam 2,14.64%,75.29
2023-11-28 10:21,Visualizer,505.57%,1.246GiB
2023-11-28 10:21,EVAM Cam 1,23.21%,85.2
2023-11-28 10:21,EVAM Cam 2,15.87%,76.06
2023-11-28 10:31,Visualizer,231.24%,2.897GiB
2023-11-28 10:31,EVAM Cam 1,27.50%,357.5
2023-11-28 10:31,EVAM Cam 2,17.45%,232.1
2023-11-28 10:41,Visualizer,710.91%,2.616GiB
2023-11-28 10:41,EVAM Cam 1,25.47%,986.7
2023-11-28 10:41,EVAM Cam 2,17.28%,350.1
2023-11-28 10:51,Visualizer,700.64%,2.572GiB
2023-11-28 10:51,EVAM Cam 1,25.76%,971.7
2023-11-28 10:51,EVAM Cam 2,16.62%,293.4
2023-11-28 11:01,Visualizer,707.07%,2.525GiB
2023-11-28 11:01,EVAM Cam 1,24.60%,854.4
2023-11-28 11:01,EVAM Cam 2,16.86%,340.3
2023-11-28 11:11,Visualizer,712.66%,2.508GiB
2023-11-28 11:11,EVAM Cam 1,25.92%,852.4
2023-11-28 11:11,EVAM Cam 2,15.85%,303.1
2023-11-28 11:21,Visualizer,676.19%,2.419GiB
2023-11-28 11:21,EVAM Cam 1,25.43%,789.9
2023-11-28 11:21,EVAM Cam 2,16.50%,287.6
2023-11-28 11:32,Visualizer,719.65%,2.437GiB
2023-11-28 11:32,EVAM Cam 1,23.96%,796.7
2023-11-28 11:32,EVAM Cam 2,16.87%,339.3
2023-11-28 11:42,Visualizer,715.42%,2.427GiB
2023-11-28 11:42,EVAM Cam 1,24.32%,753.2
2023-11-28 11:42,EVAM Cam 2,15.94%,317.2
2023-11-28 11:52,Visualizer,721.36%,2.416GiB
2023-11-28 11:52,EVAM Cam 1,24.60%,714.3
2023-11-28 11:52,EVAM Cam 2,17.13%,307.3
2023-11-28 12:02,Visualizer,725.57%,2.398GiB
2023-11-28 12:02,EVAM Cam 1,24.88%,711
2023-11-28 12:02,EVAM Cam 2,16.77%,291
2023-11-28 12:12,Visualizer,723.36%,2.395GiB
2023-11-28 12:12,EVAM Cam 1,24.41%,732.8
2023-11-28 12:12,EVAM Cam 2,16.46%,306.7
2023-11-28 12:22,Visualizer,691.73%,2.383GiB
2023-11-28 12:22,EVAM Cam 1,27.00%,783.4
2023-11-28 12:22,EVAM Cam 2,16.70%,294.8
